java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Expressions\11.10-2.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Expressions\shell.js -f mozilla\js\tests\ecma\Expressions\11.10-2.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
11.10-2 Binary Bitwise Operators:  |
255 | 60137930744 = 8388607 PASSED!
255 | 60146319352 = 16777215 PASSED!
255 | 60163096568 = 33554431 PASSED!
255 | 60196651000 = 67108863 PASSED!
255 | 60263759864 = 134217727 PASSED!
255 | 60397977592 = 268435455 PASSED!
255 | 60666413048 = 536870911 PASSED!
255 | 61203283960 = 1073741823 PASSED!
255 | 62277025784 = 2147483647 PASSED!
255 | 64424509432 = -1 PASSED!
255 | 68719476728 = -1 PASSED!
511 | 68719476729 = -1 PASSED!
511 | 68719476731 = -1 PASSED!
511 | 68719476735 = -1 PASSED!
511 | 68719476743 = 511 PASSED!
511 | 68719476759 = 511 PASSED!
511 | 68719476791 = 511 PASSED!
511 | 68719476855 = 511 PASSED!
511 | 68719476983 = 511 PASSED!
511 | 68719477239 = 511 PASSED!
511 | 68719477751 = 1023 PASSED!
511 | 68719478775 = 2047 PASSED!
511 | 68719480823 = 4095 PASSED!
511 | 68719484919 = 8191 PASSED!
511 | 68719493111 = 16383 PASSED!
511 | 68719509495 = 32767 PASSED!
511 | 68719542263 = 65535 PASSED!
511 | 68719607799 = 131071 PASSED!
511 | 68719738871 = 262143 PASSED!
511 | 68720001015 = 524287 PASSED!
511 | 68720525303 = 1048575 PASSED!
511 | 68721573879 = 2097151 PASSED!
511 | 68723671031 = 4194303 PASSED!
511 | 68727865335 = 8388607 PASSED!
511 | 68736253943 = 16777215 PASSED!
511 | 68753031159 = 33554431 PASSED!
511 | 68786585591 = 67108863 PASSED!
511 | 68853694455 = 134217727 PASSED!
511 | 68987912183 = 268435455 PASSED!
511 | 69256347639 = 536870911 PASSED!
511 | 69793218551 = 1073741823 PASSED!
511 | 70866960375 = 2147483647 PASSED!
511 | 73014444023 = -1 PASSED!
511 | 77309411319 = -1 PASSED!
1023 | 77309411320 = -1 PASSED!
1023 | 77309411322 = -1 PASSED!
1023 | 77309411326 = -1 PASSED!
1023 | 77309411334 = 1023 PASSED!
1023 | 77309411350 = 1023 PASSED!
1023 | 77309411382 = 1023 PASSED!
1023 | 77309411446 = 1023 PASSED!
1023 | 77309411574 = 1023 PASSED!
1023 | 77309411830 = 1023 PASSED!
1023 | 77309412342 = 1023 PASSED!
1023 | 77309413366 = 2047 PASSED!
1023 | 77309415414 = 4095 PASSED!
1023 | 77309419510 = 8191 PASSED!
1023 | 77309427702 = 16383 PASSED!
1023 | 77309444086 = 32767 PASSED!
1023 | 77309476854 = 65535 PASSED!
1023 | 77309542390 = 131071 PASSED!
1023 | 77309673462 = 262143 PASSED!
1023 | 77309935606 = 524287 PASSED!
1023 | 77310459894 = 1048575 PASSED!
1023 | 77311508470 = 2097151 PASSED!
1023 | 77313605622 = 4194303 PASSED!
1023 | 77317799926 = 8388607 PASSED!
1023 | 77326188534 = 16777215 PASSED!
1023 | 77342965750 = 33554431 PASSED!
1023 | 77376520182 = 67108863 PASSED!
1023 | 77443629046 = 134217727 PASSED!
1023 | 77577846774 = 268435455 PASSED!
1023 | 77846282230 = 536870911 PASSED!
1023 | 78383153142 = 1073741823 PASSED!
1023 | 79456894966 = 2147483647 PASSED!
1023 | 81604378614 = -1 PASSED!
1023 | 85899345910 = -1 PASSED!
2047 | 85899345911 = -1 PASSED!
2047 | 85899345913 = -1 PASSED!
2047 | 85899345917 = -1 PASSED!
2047 | 85899345925 = 2047 PASSED!
2047 | 85899345941 = 2047 PASSED!
2047 | 85899345973 = 2047 PASSED!
2047 | 85899346037 = 2047 PASSED!
2047 | 85899346165 = 2047 PASSED!
2047 | 85899346421 = 2047 PASSED!
2047 | 85899346933 = 2047 PASSED!
2047 | 85899347957 = 2047 PASSED!
2047 | 85899350005 = 4095 PASSED!
2047 | 85899354101 = 8191 PASSED!
2047 | 85899362293 = 16383 PASSED!
2047 | 85899378677 = 32767 PASSED!
2047 | 85899411445 = 65535 PASSED!
2047 | 85899476981 = 131071 PASSED!
2047 | 85899608053 = 262143 PASSED!
2047 | 85899870197 = 524287 PASSED!
2047 | 85900394485 = 1048575 PASSED!
2047 | 85901443061 = 2097151 PASSED!
2047 | 85903540213 = 4194303 PASSED!
2047 | 85907734517 = 8388607 PASSED!
2047 | 85916123125 = 16777215 PASSED!
2047 | 85932900341 = 33554431 PASSED!
2047 | 85966454773 = 67108863 PASSED!
2047 | 86033563637 = 134217727 PASSED!
2047 | 86167781365 = 268435455 PASSED!
2047 | 86436216821 = 536870911 PASSED!
2047 | 86973087733 = 1073741823 PASSED!
2047 | 88046829557 = 2147483647 PASSED!
2047 | 90194313205 = -1 PASSED!
2047 | 94489280501 = -1 PASSED!
4095 | 94489280502 = -1 PASSED!
4095 | 94489280504 = -1 PASSED!
4095 | 94489280508 = -1 PASSED!
4095 | 94489280516 = 4095 PASSED!
4095 | 94489280532 = 4095 PASSED!
4095 | 94489280564 = 4095 PASSED!
4095 | 94489280628 = 4095 PASSED!
4095 | 94489280756 = 4095 PASSED!
4095 | 94489281012 = 4095 PASSED!
4095 | 94489281524 = 4095 PASSED!
4095 | 94489282548 = 4095 PASSED!
4095 | 94489284596 = 4095 PASSED!
4095 | 94489288692 = 8191 PASSED!
4095 | 94489296884 = 16383 PASSED!
4095 | 94489313268 = 32767 PASSED!
4095 | 94489346036 = 65535 PASSED!
4095 | 94489411572 = 131071 PASSED!
4095 | 94489542644 = 262143 PASSED!
4095 | 94489804788 = 524287 PASSED!
4095 | 94490329076 = 1048575 PASSED!
4095 | 94491377652 = 2097151 PASSED!
4095 | 94493474804 = 4194303 PASSED!
4095 | 94497669108 = 8388607 PASSED!
4095 | 94506057716 = 16777215 PASSED!
4095 | 94522834932 = 33554431 PASSED!
4095 | 94556389364 = 67108863 PASSED!
4095 | 94623498228 = 134217727 PASSED!
4095 | 94757715956 = 268435455 PASSED!
4095 | 95026151412 = 536870911 PASSED!
4095 | 95563022324 = 1073741823 PASSED!
4095 | 96636764148 = 2147483647 PASSED!
4095 | 98784247796 = -1 PASSED!
4095 | 103079215092 = -1 PASSED!
8191 | 103079215093 = -1 PASSED!
8191 | 103079215095 = -1 PASSED!
8191 | 103079215099 = -1 PASSED!
8191 | 103079215107 = 8191 PASSED!
8191 | 103079215123 = 8191 PASSED!
8191 | 103079215155 = 8191 PASSED!
8191 | 103079215219 = 8191 PASSED!
8191 | 103079215347 = 8191 PASSED!
8191 | 103079215603 = 8191 PASSED!
8191 | 103079216115 = 8191 PASSED!
8191 | 103079217139 = 8191 PASSED!
8191 | 103079219187 = 8191 PASSED!
8191 | 103079223283 = 8191 PASSED!
8191 | 103079231475 = 16383 PASSED!
8191 | 103079247859 = 32767 PASSED!
8191 | 103079280627 = 65535 PASSED!
8191 | 103079346163 = 131071 PASSED!
8191 | 103079477235 = 262143 PASSED!
8191 | 103079739379 = 524287 PASSED!
8191 | 103080263667 = 1048575 PASSED!
8191 | 103081312243 = 2097151 PASSED!
8191 | 103083409395 = 4194303 PASSED!
8191 | 103087603699 = 8388607 PASSED!
8191 | 103095992307 = 16777215 PASSED!
8191 | 103112769523 = 33554431 PASSED!
8191 | 103146323955 = 67108863 PASSED!
8191 | 103213432819 = 134217727 PASSED!
8191 | 103347650547 = 268435455 PASSED!
8191 | 103616086003 = 536870911 PASSED!
8191 | 104152956915 = 1073741823 PASSED!
8191 | 105226698739 = 2147483647 PASSED!
8191 | 107374182387 = -1 PASSED!
8191 | 111669149683 = -1 PASSED!
16383 | 111669149684 = -1 PASSED!
16383 | 111669149686 = -1 PASSED!
16383 | 111669149690 = -1 PASSED!
16383 | 111669149698 = 16383 PASSED!
16383 | 111669149714 = 16383 PASSED!
16383 | 111669149746 = 16383 PASSED!
16383 | 111669149810 = 16383 PASSED!
16383 | 111669149938 = 16383 PASSED!
16383 | 111669150194 = 16383 PASSED!
16383 | 111669150706 = 16383 PASSED!
16383 | 111669151730 = 16383 PASSED!
16383 | 111669153778 = 16383 PASSED!
16383 | 111669157874 = 16383 PASSED!
16383 | 111669166066 = 16383 PASSED!
16383 | 111669182450 = 32767 PASSED!
16383 | 111669215218 = 65535 PASSED!
16383 | 111669280754 = 131071 PASSED!
16383 | 111669411826 = 262143 PASSED!
16383 | 111669673970 = 524287 PASSED!
16383 | 111670198258 = 1048575 PASSED!
16383 | 111671246834 = 2097151 PASSED!
16383 | 111673343986 = 4194303 PASSED!
16383 | 111677538290 = 8388607 PASSED!
16383 | 111685926898 = 16777215 PASSED!
16383 | 111702704114 = 33554431 PASSED!
16383 | 111736258546 = 67108863 PASSED!
16383 | 111803367410 = 134217727 PASSED!
16383 | 111937585138 = 268435455 PASSED!
16383 | 112206020594 = 536870911 PASSED!
16383 | 112742891506 = 1073741823 PASSED!
16383 | 113816633330 = 2147483647 PASSED!
16383 | 115964116978 = -1 PASSED!
16383 | 120259084274 = -1 PASSED!
32767 | 120259084275 = -1 PASSED!
32767 | 120259084277 = -1 PASSED!
32767 | 120259084281 = -1 PASSED!
32767 | 120259084289 = 32767 PASSED!
32767 | 120259084305 = 32767 PASSED!
32767 | 120259084337 = 32767 PASSED!
32767 | 120259084401 = 32767 PASSED!
32767 | 120259084529 = 32767 PASSED!
32767 | 120259084785 = 32767 PASSED!
32767 | 120259085297 = 32767 PASSED!
32767 | 120259086321 = 32767 PASSED!
32767 | 120259088369 = 32767 PASSED!
32767 | 120259092465 = 32767 PASSED!
32767 | 120259100657 = 32767 PASSED!
32767 | 120259117041 = 32767 PASSED!
32767 | 120259149809 = 65535 PASSED!
32767 | 120259215345 = 131071 PASSED!
32767 | 120259346417 = 262143 PASSED!
32767 | 120259608561 = 524287 PASSED!
32767 | 120260132849 = 1048575 PASSED!
32767 | 120261181425 = 2097151 PASSED!
32767 | 120263278577 = 4194303 PASSED!
32767 | 120267472881 = 8388607 PASSED!
32767 | 120275861489 = 16777215 PASSED!
32767 | 120292638705 = 33554431 PASSED!
32767 | 120326193137 = 67108863 PASSED!
32767 | 120393302001 = 134217727 PASSED!
32767 | 120527519729 = 268435455 PASSED!
32767 | 120795955185 = 536870911 PASSED!
32767 | 121332826097 = 1073741823 PASSED!
32767 | 122406567921 = 2147483647 PASSED!
32767 | 124554051569 = -1 PASSED!
32767 | 128849018865 = -1 PASSED!
65535 | 128849018866 = -1 PASSED!
65535 | 128849018868 = -1 PASSED!
65535 | 128849018872 = -1 PASSED!
65535 | 128849018880 = 65535 PASSED!
65535 | 128849018896 = 65535 PASSED!
65535 | 128849018928 = 65535 PASSED!
65535 | 128849018992 = 65535 PASSED!
65535 | 128849019120 = 65535 PASSED!
65535 | 128849019376 = 65535 PASSED!
65535 | 128849019888 = 65535 PASSED!
65535 | 128849020912 = 65535 PASSED!
65535 | 128849022960 = 65535 PASSED!
65535 | 128849027056 = 65535 PASSED!
65535 | 128849035248 = 65535 PASSED!
65535 | 128849051632 = 65535 PASSED!
65535 | 128849084400 = 65535 PASSED!
65535 | 128849149936 = 131071 PASSED!
65535 | 128849281008 = 262143 PASSED!
65535 | 128849543152 = 524287 PASSED!
65535 | 128850067440 = 1048575 PASSED!
65535 | 128851116016 = 2097151 PASSED!
65535 | 128853213168 = 4194303 PASSED!
65535 | 128857407472 = 8388607 PASSED!
65535 | 128865796080 = 16777215 PASSED!
65535 | 128882573296 = 33554431 PASSED!
65535 | 128916127728 = 67108863 PASSED!
65535 | 128983236592 = 134217727 PASSED!
65535 | 129117454320 = 268435455 PASSED!
65535 | 129385889776 = 536870911 PASSED!
65535 | 129922760688 = 1073741823 PASSED!
65535 | 130996502512 = 2147483647 PASSED!
65535 | 133143986160 = -1 PASSED!
65535 | 137438953456 = -1 PASSED!
131071 | 137438953457 = -1 PASSED!
131071 | 137438953459 = -1 PASSED!
131071 | 137438953463 = -1 PASSED!
131071 | 137438953471 = -1 PASSED!
131071 | 137438953487 = 131071 PASSED!
131071 | 137438953519 = 131071 PASSED!
131071 | 137438953583 = 131071 PASSED!
131071 | 137438953711 = 131071 PASSED!
131071 | 137438953967 = 131071 PASSED!
131071 | 137438954479 = 131071 PASSED!
131071 | 137438955503 = 131071 PASSED!
131071 | 137438957551 = 131071 PASSED!
131071 | 137438961647 = 131071 PASSED!
131071 | 137438969839 = 131071 PASSED!
131071 | 137438986223 = 131071 PASSED!
131071 | 137439018991 = 131071 PASSED!
131071 | 137439084527 = 131071 PASSED!
131071 | 137439215599 = 262143 PASSED!
131071 | 137439477743 = 524287 PASSED!
131071 | 137440002031 = 1048575 PASSED!
131071 | 137441050607 = 2097151 PASSED!
131071 | 137443147759 = 4194303 PASSED!
131071 | 137447342063 = 8388607 PASSED!
131071 | 137455730671 = 16777215 PASSED!
131071 | 137472507887 = 33554431 PASSED!
131071 | 137506062319 = 67108863 PASSED!
131071 | 137573171183 = 134217727 PASSED!
131071 | 137707388911 = 268435455 PASSED!
131071 | 137975824367 = 536870911 PASSED!
131071 | 138512695279 = 1073741823 PASSED!
131071 | 139586437103 = 2147483647 PASSED!
131071 | 141733920751 = -1 PASSED!
131071 | 146028888047 = -1 PASSED!
262143 | 146028888048 = -1 PASSED!
262143 | 146028888050 = -1 PASSED!
262143 | 146028888054 = -1 PASSED!
262143 | 146028888062 = -1 PASSED!
262143 | 146028888078 = 262143 PASSED!
262143 | 146028888110 = 262143 PASSED!
262143 | 146028888174 = 262143 PASSED!
262143 | 146028888302 = 262143 PASSED!
262143 | 146028888558 = 262143 PASSED!
262143 | 146028889070 = 262143 PASSED!
262143 | 146028890094 = 262143 PASSED!
262143 | 146028892142 = 262143 PASSED!
262143 | 146028896238 = 262143 PASSED!
262143 | 146028904430 = 262143 PASSED!
262143 | 146028920814 = 262143 PASSED!
262143 | 146028953582 = 262143 PASSED!
262143 | 146029019118 = 262143 PASSED!
262143 | 146029150190 = 262143 PASSED!
262143 | 146029412334 = 524287 PASSED!
262143 | 146029936622 = 1048575 PASSED!
262143 | 146030985198 = 2097151 PASSED!
262143 | 146033082350 = 4194303 PASSED!
262143 | 146037276654 = 8388607 PASSED!
262143 | 146045665262 = 16777215 PASSED!
262143 | 146062442478 = 33554431 PASSED!
262143 | 146095996910 = 67108863 PASSED!
262143 | 146163105774 = 134217727 PASSED!
262143 | 146297323502 = 268435455 PASSED!
262143 | 146565758958 = 536870911 PASSED!
262143 | 147102629870 = 1073741823 PASSED!
262143 | 148176371694 = 2147483647 PASSED!
262143 | 150323855342 = -1 PASSED!
262143 | 154618822638 = -1 PASSED!
524287 | 154618822639 = -1 PASSED!
524287 | 154618822641 = -1 PASSED!
524287 | 154618822645 = -1 PASSED!
524287 | 154618822653 = -1 PASSED!
524287 | 154618822669 = 524287 PASSED!
524287 | 154618822701 = 524287 PASSED!
524287 | 154618822765 = 524287 PASSED!
524287 | 154618822893 = 524287 PASSED!
524287 | 154618823149 = 524287 PASSED!
524287 | 154618823661 = 524287 PASSED!
524287 | 154618824685 = 524287 PASSED!
524287 | 154618826733 = 524287 PASSED!
524287 | 154618830829 = 524287 PASSED!
524287 | 154618839021 = 524287 PASSED!
524287 | 154618855405 = 524287 PASSED!
524287 | 154618888173 = 524287 PASSED!
524287 | 154618953709 = 524287 PASSED!
524287 | 154619084781 = 524287 PASSED!
524287 | 154619346925 = 524287 PASSED!
524287 | 154619871213 = 1048575 PASSED!
524287 | 154620919789 = 2097151 PASSED!
524287 | 154623016941 = 4194303 PASSED!
524287 | 154627211245 = 8388607 PASSED!
524287 | 154635599853 = 16777215 PASSED!
524287 | 154652377069 = 33554431 PASSED!
524287 | 154685931501 = 67108863 PASSED!
524287 | 154753040365 = 134217727 PASSED!
524287 | 154887258093 = 268435455 PASSED!
524287 | 155155693549 = 536870911 PASSED!
524287 | 155692564461 = 1073741823 PASSED!
524287 | 156766306285 = 2147483647 PASSED!
524287 | 158913789933 = -1 PASSED!
524287 | 163208757229 = -1 PASSED!
1048575 | 163208757230 = -1 PASSED!
1048575 | 163208757232 = -1 PASSED!
1048575 | 163208757236 = -1 PASSED!
1048575 | 163208757244 = -1 PASSED!
1048575 | 163208757260 = 1048575 PASSED!
1048575 | 163208757292 = 1048575 PASSED!
1048575 | 163208757356 = 1048575 PASSED!
1048575 | 163208757484 = 1048575 PASSED!
1048575 | 163208757740 = 1048575 PASSED!
