java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(143)).charCodeAt(0) = 143 PASSED!
(String.fromCharCode(144)).charCodeAt(0) = 144 PASSED!
(String.fromCharCode(145)).charCodeAt(0) = 145 PASSED!
(String.fromCharCode(146)).charCodeAt(0) = 146 PASSED!
(String.fromCharCode(147)).charCodeAt(0) = 147 PASSED!
(String.fromCharCode(148)).charCodeAt(0) = 148 PASSED!
(String.fromCharCode(149)).charCodeAt(0) = 149 PASSED!
(String.fromCharCode(150)).charCodeAt(0) = 150 PASSED!
(String.fromCharCode(151)).charCodeAt(0) = 151 PASSED!
(String.fromCharCode(152)).charCodeAt(0) = 152 PASSED!
(String.fromCharCode(153)).charCodeAt(0) = 153 PASSED!
(String.fromCharCode(154)).charCodeAt(0) = 154 PASSED!
(String.fromCharCode(155)).charCodeAt(0) = 155 PASSED!
(String.fromCharCode(156)).charCodeAt(0) = 156 PASSED!
(String.fromCharCode(157)).charCodeAt(0) = 157 PASSED!
(String.fromCharCode(158)).charCodeAt(0) = 158 PASSED!
(String.fromCharCode(159)).charCodeAt(0) = 159 PASSED!
(String.fromCharCode(160)).charCodeAt(0) = 160 PASSED!
(String.fromCharCode(161)).charCodeAt(0) = 161 PASSED!
(String.fromCharCode(162)).charCodeAt(0) = 162 PASSED!
(String.fromCharCode(163)).charCodeAt(0) = 163 PASSED!
(String.fromCharCode(164)).charCodeAt(0) = 164 PASSED!
(String.fromCharCode(165)).charCodeAt(0) = 165 PASSED!
(String.fromCharCode(166)).charCodeAt(0) = 166 PASSED!
(String.fromCharCode(167)).charCodeAt(0) = 167 PASSED!
(String.fromCharCode(168)).charCodeAt(0) = 168 PASSED!
(String.fromCharCode(169)).charCodeAt(0) = 169 PASSED!
(String.fromCharCode(170)).charCodeAt(0) = 170 PASSED!
(String.fromCharCode(171)).charCodeAt(0) = 171 PASSED!
(String.fromCharCode(172)).charCodeAt(0) = 172 PASSED!
(String.fromCharCode(173)).charCodeAt(0) = 173 PASSED!
(String.fromCharCode(174)).charCodeAt(0) = 174 PASSED!
